Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Total Tests,Population,Tests/1M pop
Afghanistan,206465,39,7839,2,184179,61,14447,1124,5066,192,1163929,40754388,28560
Albania,333472,,3593,,328281,,1598,,116339,1254,1941032,2866374,677173
Algeria,271128,,6881,,182589,,81658,,5979,152,230861,45350148,5091
Andorra,47446,,158,,46952,,336,14,612499,2040,249838,77463,3225256
Angola,104808,,1925,,102538,,345,,2992,55,1499795,35027343,42818
Anguilla,3904,,12,,3879,,13,4,256336,788,51382,15230,3373736
Antigua and Barbuda,9106,,146,,8954,,6,1,91509,1467,18901,99509,189943
Argentina,9739856,,130034,,9591684,,18138,241,211689,2826,35716069,46010234,776264
Armenia,445828,,8712,,434979,,2137,,150011,2931,3237561,2971966,1089367
Aruba,43693,,236,,42438,,1019,2,406035,2193,177885,107609,1653068
Australia,10767933,4284,16304,20,10546102,,205527,89,413058,625,78835048,26068792,3024116
Austria,5600568,5140,21257,,5529406,2906,49905,47,617707,2345,203156436,9066710,22406853
Azerbaijan,824641,,9984,,814353,,304,,80061,969,7388051,10300205,717272
Bahamas,37491,,833,,36366,,292,1,93607,2080,257839,400516,643767
Bahrain,696851,,1536,,694364,,951,2,390615,861,10584386,1783983,5933008
Bangladesh,2036730,13,29436,,1986320,40,20974,1331,12132,175,15104453,167885689,89969
Barbados,104416,,567,,102435,,1414,,362527,1969,780944,288023,2711395
Belarus,994037,,7118,,985592,,1327,,105381,755,13646641,9432800,1446722
Belgium,4644478,,33086,,4586635,599,24757,48,398043,2836,36163288,11668278,3099282
Belize,69117,,688,,68379,,50,6,167682,1669,576016,412190,1397453
Benin,27980,,163,,27746,,71,5,2189,13,604310,12784726,47268
Bermuda,18519,,152,,18343,,24,,298988,2454,1019654,61939,16462229
Bhutan,62512,,21,,61564,,927,,79336,27,2303734,787941,2923739
Bolivia,1114914,1106,22252,,1078832,122,13830,220,92966,1855,2705422,11992656,225590
Bosnia and Herzegovina,400636,10,16212,4,378476,8,5948,,123299,4989,1880136,3249317,578625
Botswana,326800,,2793,,323747,,260,1,133871,1144,2026898,2441162,830300
Brazil,35529611,,690635,,34262104,,576872,8318,164983,3207,63776166,215353593,296146
British Virgin Islands,7305,,64,,,,,,238757,2092,107339,30596,3508269
Brunei,241044,,225,,222140,,18679,3,541148,505,717784,445431,1611437
